x,y,z
-374.1786,291.50757,-477.95187
112.90824,-244.4051,-77.08353
34.306576,-166.43907,88.648895
-56.437653,171.48537,152.91258
196.5097,-90.51008,676.2775
-536.7767,-138.71521,-510.29752
-28.974089,47.819603,-290.59695
-110.14363,-64.88496,-244.21245
-11.2898445,175.35742,17.48862
128.47131,-62.461597,209.36949
221.91092,484.121,106.640526
292.56494,48.84788,278.02237
-324.6134,-113.17714,-75.52224
-134.6279,-170.79308,146.3471
57.597527,247.4865,-97.17308
-28.383457,-65.52147,190.57056
234.71916,36.819607,93.599106
-187.14093,-290.27835,-127.973465
-337.50998,18.973732,41.623
97.66833,-50.16593,-238.00125
52.314205,17.39319,76.67859
149.64095,171.95042,20.65632
10.98556,75.45245,255.41798
174.69504,99.13856,-269.4563
-154.28134,-277.7187,41.033665
-160.06375,120.91313,-16.736609
9.46409,-324.19568,4.897208
-125.19756,106.80808,-185.83128
-132.41673,-21.734121,294.5183
128.27388,144.52615,173.24432
-192.02556,-20.054434,-86.88715
-129.54144,-395.74707,548.1262
-125.1385,243.59575,-102.71313
57.556744,381.35486,-138.39189
-10.163881,352.1964,41.910892
295.39114,201.36925,359.42722
-99.57225,10.011743,84.74157
1387.2162,1021.2844,-402.59518
-2742.7397,-1122.9629,174.74509
164.82632,-104.364265,53.129154
73.15325,124.67534,-167.21776
-216.00052,93.04147,122.6556
172.18588,51.148205,-81.19333
298.00894,-217.48975,-58.351604
254.76772,-54.063175,-82.09966
-21.990643,-49.175564,-125.479004
85.87075,-89.763115,-73.713455
-84.4009,-177.21295,-112.27598
-71.07097,-98.96336,11.991855
-5.848732,55.530273,-56.339508
