label,x,y
0,1362.6294,-103.03409
0,1395.7948,-342.4264
0,174.50542,-440.77963
0,546.8733,-461.80594
0,1638.3162,-277.23718
1,-1115.8649,516.29407
1,-864.3063,75.83155
1,-920.0437,301.77014
1,-789.6646,-338.52396
1,-680.35394,210.75362
2,642.8077,748.68945
2,226.20876,990.02704
2,464.52042,925.82184
2,192.17249,-118.47029
2,-925.3801,797.3236
3,293.62637,446.91104
3,555.9513,-33.67827
3,782.6785,1034.6143
3,-1513.994,475.3747
3,839.8192,94.624
4,-1223.5145,118.194565
4,373.45193,-789.01874
4,-514.2075,764.0933
4,41.019558,675.8556
4,-1346.0531,-286.75458
5,124.44265,-707.97217
5,1011.3714,1611.1387
5,819.22955,-1425.8356
5,-329.63837,-953.62317
5,-750.6632,-679.3247
6,578.162,295.7222
6,-1074.8269,-571.4708
6,-424.7837,278.9077
6,-401.18076,1177.1265
6,862.5577,-262.65607
7,-489.94446,-356.036
7,-679.41327,-137.38083
7,-197.33018,-622.4701
7,-424.12674,-592.715
7,69.21115,268.3439
8,-464.7399,-16.2569
8,-670.78845,504.40836
8,-246.31699,27.02158
8,543.1037,1324.0361
8,-36.392155,31.559307
9,-157.24208,378.30466
9,-1010.7535,-160.84535
9,-209.458,-253.59361
9,-214.12666,814.2799
9,-355.39496,529.5202
