label,x,y,z
0,2410.4039177685727,1626.9584016887436,-565.1668386288254
0,2537.509268758116,1832.9706074565308,-645.4336622492377
0,1426.1469752401956,98.33033619385576,-635.7605863611341
0,1746.2761838782385,-147.387731219646,-1027.9588035657557
0,2345.396515473886,1223.3197017165473,-217.705652808368
1,917.5788876923081,-80.91561747616403,680.5085709256094
1,939.2199156815823,-403.67678886069586,505.0760035751142
1,837.2622368052591,-399.53172798885475,555.1669618002896
1,600.3217878977041,-249.62955912797437,436.6370918315546
1,793.9184215483532,-202.76840995618414,295.38339240392423
2,2508.6978893567125,209.0356639221341,1358.2057820032996
2,1752.712355728737,720.0192740056307,991.7771555124104
2,1662.7197054391095,334.8898164639152,1181.2679654695833
2,1566.0470838390743,-432.47004355887464,170.34374917224486
2,1232.063517196481,-338.9036079101292,351.9578538521482
3,1148.309567949142,15.827227574327948,316.46214499578247
3,1768.426016715218,400.22980767413185,89.26861506815045
3,1906.9540947930927,192.38317490822428,1255.0322161016888
3,1877.8496555091938,774.9359090936314,108.17567581657684
3,1469.8511048362104,396.63219517572713,75.44585459052428
4,749.2634493879908,136.99405484010043,-236.8260860107106
4,1483.719321372314,-287.1555319479652,-850.9489576214233
4,1326.871948722669,-717.2572644159108,-496.5789883025507
4,1318.2945481781373,48.67435896797303,-767.7651158833899
4,1668.4651863623171,-424.6424634618066,-373.0915298817609
5,1703.4179219874256,-405.9841429519239,-358.71046708994135
5,2433.4247100770704,1010.2280472249013,-129.04672488398
5,2113.630883369066,1173.815410249525,90.74088788635491
5,1684.166267561603,-341.1740035178932,-391.33949456250195
5,951.9956000589304,-446.61096679597506,204.92517274823413
6,1364.1851075754423,-207.57940918152963,-520.4987789921344
6,1608.1483596069284,-661.3358128341919,-519.1209604002461
6,1489.749570457505,-521.5060845705922,-286.109121830698
6,1938.6002277326893,-81.22631156278979,-708.3578217000055
6,1806.4264639495077,660.028018222461,-542.4754889491504
7,1081.609398143782,-383.41166021890774,388.4592207056837
7,917.1586824357715,-428.9799679218238,256.57591718431985
7,1469.1360869791595,-378.6258226400954,-114.30657853708232
7,1233.0265487783197,-434.5845422243977,336.16596712635567
7,858.2559876395643,-662.3331657907357,-167.05574075291827
8,2344.74950435588,-1140.5780203356712,-199.62158442456726
8,1512.4040628978316,-671.7664382411169,248.73781701515566
8,1407.904325028395,-790.3697151940551,128.80674906389868
8,2195.8718913668245,281.1020145112382,789.722781394464
8,1572.239521009687,-526.817851032517,257.91928505068216
9,1613.4151088713559,-964.8576936985038,-76.48428981295703
9,1418.2210616026725,-788.4901319012436,432.46124832460737
9,1843.7850414709505,-1264.4278950913172,31.496757244151148
9,1090.8075866451566,-331.0591322023849,-204.3589226971437
9,1735.3041922027019,-1149.6566791407736,-544.174661499826
