label,x,y,z
0,1964.1631,-473.03024,-438.7965
0,2213.7578,-563.8685,-718.5313
0,181.56067,-604.1254,-237.75449
0,96.88095,-1058.8917,-755.41895
0,1589.8778,-230.83546,-892.2861
1,-341.03714,766.74756,-241.06049
1,-564.3722,496.28833,82.59604
1,-702.02783,696.5466,190.93301
1,-671.0952,587.07367,-152.63892
1,-470.92633,399.9944,315.94446
2,705.3605,1178.4149,19.284122
2,763.91895,1026.3604,-226.0791
2,440.07764,1103.4517,-108.584526
2,-313.69513,146.40125,659.05225
2,-418.92642,407.02853,842.23096
3,-93.53553,348.98578,-215.83101
3,544.9112,166.47833,-432.64972
3,325.8451,1216.5931,132.06178
3,891.7104,190.58043,-225.4516
3,301.66412,158.71362,-575.6035
4,-172.00621,-30.187887,414.39478
4,-132.14839,-873.5311,49.7217
4,-607.29114,-557.7929,175.32167
4,31.241135,-659.20056,731.80286
4,-238.94333,-482.8141,-367.65317
5,-12.67739,-412.64053,105.594894
5,1435.1655,-96.668785,1091.0398
5,1404.6704,167.2088,353.74466
5,-72.138435,-516.62256,-154.62779
5,-702.2832,213.07782,-35.51887
6,-312.75403,-506.2868,38.59551
6,-443.29895,-549.7215,1106.9318
6,-362.85187,-343.44507,648.6787
6,254.52554,-723.80835,1388.6655
6,762.5835,-389.47507,844.4429
7,-416.6218,427.74057,-234.95848
7,-554.6627,194.3758,-268.7704
7,-273.00278,-163.84216,-317.00558
7,-389.83722,237.9919,55.27356
7,-845.5143,-149.90393,-483.2908
8,-442.92773,-575.2677,-717.03033
8,-514.3544,84.5265,-494.02914
8,-672.5461,5.5411105,-717.3115
8,617.80536,725.67883,1013.97595
8,-319.74396,146.99857,-661.34265
9,-636.0622,-292.84058,-329.54688
9,-755.5548,333.59592,-436.98132
9,-874.4491,-235.59966,-150.3236
9,-429.98904,-188.7087,368.3865
9,-773.54724,-742.3768,-37.65647
