label,x,y,z
0,1501.3918,320.8555,-122.645
0,866.89734,-343.27396,-658.07825
0,76.77884,334.80536,130.36667
0,689.3008,162.10013,-912.7465
0,1481.5065,-325.79156,46.214638
0,2089.88,-81.56172,186.15953
0,458.8046,1.3809743,-605.6167
0,858.5187,320.33215,-165.90575
0,657.122,289.00922,-145.42874
0,1197.7107,-614.64874,-1090.931
0,658.7147,443.6227,-191.14366
0,180.47902,-125.41569,-679.6992
0,807.4012,341.8159,54.801174
0,873.5752,-24.468117,-798.22217
0,565.71954,116.66012,488.30356
0,1286.9298,-187.55658,-787.68726
0,610.32043,243.91197,738.9443
0,400.34363,-189.9497,-741.3664
0,1012.52026,173.85233,638.6372
0,1064.3267,193.13873,177.03215
0,5.4243116,171.5051,-183.00388
0,1497.1042,116.299446,514.4359
0,1032.656,8.592689,-119.597855
0,1823.5105,190.74782,-81.54076
0,89.397835,-315.98694,-116.53695
0,938.4963,514.2972,1026.1101
0,1162.1934,111.92257,-698.5004
0,907.51556,122.49636,454.47406
0,1293.2411,305.17395,867.5355
0,1040.0865,-156.16222,699.1246
0,1080.7736,370.22403,277.20956
0,943.1177,69.19757,-149.07759
0,800.5819,537.1028,755.1307
0,1765.6399,627.12244,397.9611
0,1819.2136,536.44617,741.19916
0,1159.1478,240.27203,149.0069
0,964.57434,419.40436,827.5472
0,1549.5042,9.636877,448.46188
0,1078.9037,-408.95935,-767.82025
0,1444.9834,479.18732,616.1031
0,1094.6938,302.80328,801.75256
0,1122.3816,30.411478,-743.1516
0,813.0395,-549.05896,-824.2579
0,1337.8134,-41.805058,-170.45018
0,838.9462,-7.2005634,-698.5017
0,1077.9785,-215.22876,-819.7866
0,1174.9012,42.047295,-357.63922
0,774.28406,-190.6176,-626.79
0,1254.5132,230.82947,303.63464
0,1229.6599,-340.2425,-791.7411
0,1286.829,313.07584,523.2254
0,955.45966,277.80124,-142.62321
0,1762.3857,-261.23932,-106.81541
0,1048.2933,528.42914,378.99847
0,706.9873,-17.057013,-827.24066
0,885.2104,-137.4546,-61.447563
0,1635.0865,-396.37326,-412.42688
0,138.68149,-242.02469,-36.121815
0,1521.947,208.85522,272.15622
0,1289.5142,334.8022,735.32654
0,538.02014,135.55573,-490.5415
0,1583.7834,135.44595,152.59122
0,2031.8563,2.0763564,-245.1479
0,1490.1455,72.86611,-91.69998
0,702.2163,-483.97818,-807.4652
0,2002.6775,81.29204,-449.48636
0,536.65485,-386.09497,-67.89372
0,346.4913,317.047,-137.41539
0,658.20233,-185.49078,-86.53908
0,704.20605,112.239204,734.3813
0,452.55014,135.80106,-614.95984
0,1339.2228,-265.3199,-388.0783
0,406.37665,266.24356,317.4602
0,505.15085,159.33653,311.40005
0,264.5484,6.4749346,68.3616
0,447.07678,4.524377,316.32956
0,731.76105,232.27602,-157.43854
0,748.95056,239.40404,458.61044
0,1174.9756,-128.55916,-621.32874
0,1011.2351,267.5798,690.3035
0,1268.7068,207.8475,-485.83978
0,1230.0941,181.70691,-1080.7106
0,1296.8026,434.52975,377.19937
0,1380.9658,607.5969,710.1444
0,1310.4302,54.929783,-109.420334
0,1367.0929,236.21642,732.1039
0,1172.2516,147.6391,-146.76343
0,1487.6675,-119.94204,-238.53558
0,1058.8145,5.7042074,550.5595
0,1091.5927,415.44006,511.80502
0,839.8084,63.5461,923.1168
0,658.78357,-96.97281,-343.99884
0,332.03793,76.3797,-734.43835
0,1193.8536,155.56958,-237.16734
0,950.4987,334.6114,641.1422
1,-817.189,608.75806,-236.42441
1,-926.66077,665.28827,-181.11633
1,-868.4116,419.65778,-202.69943
1,-861.3081,431.4397,-47.815548
1,-925.1239,485.77197,-21.49966
1,-329.3568,328.76584,-77.72377
1,-497.35052,183.79973,-311.80618
1,-875.03217,773.8636,-369.55142
1,-773.1463,290.5197,-67.12803
1,-1027.7427,551.6452,-236.91515
1,-962.2383,491.25266,52.683228
1,-813.94,368.33807,-252.93854
1,-607.23047,510.3132,-373.58624
1,-859.66766,575.66437,-305.0331
1,-884.1344,473.98306,-274.32617
1,-923.2055,704.08276,-402.3711
1,-982.6565,490.1111,-93.955826
1,-723.0627,629.0995,-402.65344
1,-135.07883,-8.060423,-47.33251
1,-881.76526,202.01141,-119.30265
1,-978.47125,476.57153,-247.40083
1,-875.41595,767.7337,-468.05463
1,-735.5046,696.87976,-202.76152
1,-776.89923,537.9426,-19.998346
1,-845.3917,183.05966,97.8324
1,-917.2844,601.7683,-371.44928
1,-1010.94037,448.61884,-26.598999
1,-700.05383,239.38158,117.3842
1,-809.1017,203.62929,-70.49475
1,-781.76447,443.95065,14.44998
1,-829.0881,199.62675,186.38977
1,-816.61053,514.25793,-357.9128
1,-843.14703,338.70123,95.03412
1,-713.68384,366.1567,-13.3874445
1,-841.4786,686.9107,-185.80554
1,-877.53644,266.0103,104.93519
1,-1027.1089,404.17703,-104.96759
1,-971.8845,450.74506,-348.6603
1,-930.6243,379.87372,-24.254313
1,-794.4855,472.58902,-221.0919
1,-790.9953,759.3987,-152.29349
1,-892.0143,692.41986,-265.02542
1,-902.31067,525.32135,-94.02734
1,-741.0246,658.8219,-608.9411
1,-962.1296,289.63718,-35.769367
1,-921.95245,572.7105,-235.23781
1,-895.8166,331.50296,-181.83968
1,-781.75055,267.933,119.11987
1,-831.62946,558.29834,-82.97418
1,-912.19885,606.20764,-41.46624
1,-529.23157,246.18915,19.885248
1,-989.35065,380.58215,-205.18013
1,-868.22906,533.36035,21.984243
1,-946.827,494.39365,-469.7293
1,-858.79193,638.6479,-439.24777
1,-723.86993,440.12006,-139.9697
1,-80.64739,789.0776,276.44513
1,-522.2849,401.45856,-338.65457
1,-785.45856,761.58264,-379.74207
1,-747.16235,455.67255,-63.24341
1,-663.14874,764.3651,-551.0203
1,-939.43933,245.30334,154.68915
1,-881.1366,421.53235,48.198685
1,-985.8222,595.5705,-99.52737
1,-744.27747,660.06396,-127.720436
1,-835.79486,191.78142,12.648958
1,-519.32556,472.98087,-540.17755
1,-878.6846,565.26373,-161.29292
1,-825.50653,306.3073,-134.30571
1,-914.27875,454.4605,-140.31126
1,-907.6723,306.80258,-270.5421
1,-966.4661,535.75806,-167.81085
1,-536.88513,39.60489,-518.11584
1,-676.50507,744.8765,-234.59167
1,-741.886,190.26921,186.75098
1,-779.8757,699.7364,-287.6412
1,-1029.3915,528.3969,-366.08942
1,-860.07214,249.05612,-194.44234
1,-769.2436,145.02077,101.971725
1,-810.7211,480.66766,-121.09649
1,-976.9648,579.67145,-309.2837
1,-1030.0317,459.3038,-172.62001
1,-942.5013,345.08746,-109.13742
1,-636.843,164.36635,205.41708
1,-997.98694,372.8246,32.372215
1,-124.46144,148.65224,-870.0203
1,-549.487,574.0665,-343.91684
1,-722.21783,777.2936,-321.87274
1,-846.1961,349.2555,-56.17339
1,-709.7212,299.3664,40.146084
1,-835.81415,394.87518,-130.08942
1,-869.4026,283.36252,-5.2465496
1,-917.95605,394.6301,-265.24887
1,-795.32385,593.4986,-142.47968
1,-797.2929,337.15698,22.466278
2,-602.984,-30.004068,103.467155
2,-487.9631,384.85822,47.432495
2,1108.3494,585.88165,-47.41217
2,-287.19653,493.64313,-47.843258
2,106.19809,-405.84314,249.58145
2,662.33435,396.87787,73.313034
2,-256.91013,1032.1023,-167.94783
2,255.33426,-463.0811,-594.7921
2,-87.99807,167.64941,84.89955
2,800.96387,106.002365,-454.85486
2,-46.7575,311.40732,-148.87735
2,-628.77057,320.6432,-183.15622
2,105.78853,317.71548,-569.50085
2,485.26642,-250.16249,-537.09076
2,-562.8357,159.62416,66.289474
2,-250.6084,139.10352,-85.101746
2,-134.41106,910.30914,272.6238
2,396.73834,1343.0721,-151.18921
2,588.871,267.54303,-821.7546
2,-359.3632,771.54083,-273.9919
2,365.12094,844.1422,-325.7109
2,86.2467,1145.0704,-19.95074
2,-398.8301,1017.68756,191.07666
2,440.96967,79.12668,-701.12537
2,25.350761,603.03796,-96.40925
2,-280.42117,982.14325,-64.47881
2,-600.64703,206.16061,130.20996
2,506.70862,154.33821,-219.00853
2,670.6519,-8.776571,-1030.4463
2,-1.384213,388.92444,-198.85884
2,573.48145,-127.50396,-390.87997
2,340.32675,693.5006,-465.07074
2,621.0828,176.0549,-1191.0197
2,-452.05103,636.5896,402.34476
2,677.93726,153.49638,-697.6861
2,946.70667,-160.64413,-668.9022
2,138.50336,314.99307,-309.20377
2,-487.10684,723.70746,-213.78871
2,534.08716,-169.55394,-515.8855
2,17.296783,594.31195,392.16516
2,-251.23763,756.9337,-200.7116
2,-26.720203,-183.60287,43.55331
2,63.87601,-468.3588,-501.7478
2,165.06209,177.65656,133.03636
2,274.70813,234.76021,-397.9674
2,-489.58115,927.1995,100.11158
2,47.781227,207.92581,-336.19815
2,565.0335,-12.599119,-458.20395
2,-336.07266,-23.658125,1120.7926
2,435.03018,72.04618,89.54259
2,52.403027,-24.737719,-402.28604
2,491.08002,235.20851,-312.43347
2,423.01416,-222.16203,-918.0211
2,-422.83795,316.73602,-148.15886
2,374.2771,520.12695,-132.38391
2,393.70285,105.25062,-353.51364
2,682.61646,-122.573685,-1085.3184
2,852.702,165.2572,-320.32034
2,-299.8867,737.1407,48.465366
2,335.74722,778.4008,-252.1389
2,510.47705,-90.78457,-910.6757
2,-101.849815,1072.0127,-175.98354
2,415.89838,267.52667,-365.07303
2,-55.924095,493.26236,-16.790348
2,-116.557365,-321.31577,-160.69377
2,417.64352,462.88037,518.93945
2,-511.47095,70.182785,-170.33876
2,-288.76474,250.06158,140.58293
2,619.74493,301.73053,-478.61612
2,-35.535152,21.979454,-162.7792
2,395.9927,156.35114,-713.98254
2,-417.54913,286.3241,-57.673767
2,-100.54518,378.20187,-429.376
2,-79.0791,-204.6156,-443.62506
2,637.3085,262.26508,-36.33226
2,-296.05783,827.3998,-98.9668
2,464.59787,-187.5563,-663.09735
2,422.37796,-793.05206,-220.16232
2,-293.9281,-270.4869,-337.67944
2,-433.184,437.97098,35.529976
2,849.2493,-53.949657,-527.5943
2,-318.25574,681.91785,-191.28996
2,-482.84195,577.9399,111.74092
2,155.4124,-52.563637,221.02611
2,966.0844,-131.30241,-173.15884
2,221.03969,-109.35817,-152.34288
2,144.14035,807.434,57.377174
